"city","county","leads","eb","score","city_level"
"三亚市","吉阳区",309,0.117568785056223,120,"三线"
"三亚市","天涯区",140,0.0911921531113689,100,"三线"
"三亚市","崖州区",35,0.0825750420292474,90,"三线"
"三亚市","海棠区",41,0.103027836227785,110,"三线"
"三明市","三元区",101,0.0790676519597738,80,"四线"
"三明市","大田县",41,0.0892461013381055,90,"四线"
"三明市","宁化县",38,0.0670762094366704,70,"四线"
"三明市","尤溪县",43,0.0766789559479907,80,"四线"
"三明市","永安市",81,0.0770868121230322,80,"四线"
"三明市","沙县",42,0.0829260700539745,90,"四线"
"三门峡市","义马市",37,0.078295935930593,80,"五线"
"三门峡市","渑池县",42,0.105035524497738,110,"五线"
"三门峡市","湖滨区",107,0.0804837951822514,80,"五线"
"三门峡市","灵宝市",142,0.0884995157197357,90,"五线"
"三门峡市","陕州区",53,0.0714633906294907,70,"五线"
"上海市","嘉定区",1013,0.142818444811013,150,"一线"
"上海市","奉贤区",616,0.143754901249566,150,"一线"
"上海市","宝山区",1040,0.143795847926486,150,"一线"
"上海市","崇明区",177,0.134346685343139,140,"一线"
"上海市","徐汇区",497,0.178993438271848,190,"一线"
"上海市","普陀区",526,0.164990490567747,170,"一线"
"上海市","杨浦区",485,0.164607959373956,170,"一线"
"上海市","松江区",1068,0.161298036373113,170,"一线"
"上海市","浦东新区",2781,0.171498280904064,180,"一线"
"上海市","虹口区",232,0.155351155688854,160,"一线"
"上海市","金山区",344,0.143968527309472,150,"一线"
"上海市","长宁区",203,0.153866772497571,160,"一线"
"上海市","闵行区",1372,0.160609379077752,170,"一线"
"上海市","青浦区",531,0.148622483168297,160,"一线"
"上海市","静安区",377,0.142488357711608,150,"一线"
"上海市","黄浦区",190,0.175718831434026,180,"一线"
"上饶市","万年县",55,0.100641033038591,110,"三线"
"上饶市","上饶县",62,0.0865806621024967,90,"三线"
"上饶市","余干县",177,0.0704531040968959,70,"三线"
"上饶市","信州区",189,0.06467434232239,70,"三线"
"上饶市","婺源县",52,0.0858447438482416,90,"三线"
"上饶市","广丰区",155,0.0863984230939288,90,"三线"
"上饶市","广信区",79,0.0843266602757657,90,"三线"
"上饶市","弋阳县",83,0.124930203259102,130,"三线"
"上饶市","德兴市",68,0.0940448887822348,100,"三线"
"上饶市","玉山县",180,0.0729942519215061,80,"三线"
"上饶市","鄱阳县",154,0.0867022703452206,90,"三线"
"上饶市","铅山县",59,0.0985149811227706,100,"三线"
"东莞市","万江区",109,0.110679270997981,120,"新一线"
"东莞市","万江街道",109,0.0939672181239017,100,"新一线"
"东莞市","东坑镇",95,0.126430493242921,130,"新一线"
"东莞市","东城区",199,0.135087679119496,140,"新一线"
"东莞市","东城街道",222,0.109241041419121,110,"新一线"
"东莞市","东莞市",75,0.0949162666344918,100,"新一线"
"东莞市","中堂镇",80,0.13544629312411,140,"新一线"
"东莞市","企石镇",77,0.122937571315783,130,"新一线"
"东莞市","凤岗镇",191,0.122891256665905,130,"新一线"
"东莞市","南城区",169,0.135263495680963,140,"新一线"
"东莞市","南城街道",249,0.1146463440105,120,"新一线"
"东莞市","厚街镇",288,0.0967875192932008,100,"新一线"
"东莞市","塘厦镇",342,0.12594709598544,130,"新一线"
"东莞市","大岭山镇",224,0.11426863249786,120,"新一线"
"东莞市","大朗镇",276,0.0922629521677205,100,"新一线"
"东莞市","寮步镇",354,0.104245012942755,110,"新一线"
"东莞市","常平镇",291,0.12220506491927,130,"新一线"
"东莞市","望牛墩镇",38,0.115777205943705,120,"新一线"
"东莞市","松山湖",118,0.134854546815082,140,"新一线"
"东莞市","桥头镇",171,0.127728933040992,130,"新一线"
"东莞市","樟木头镇",142,0.104611979711381,110,"新一线"
"东莞市","横沥镇",120,0.129782774679482,140,"新一线"
"东莞市","沙田镇",162,0.138502251472561,150,"新一线"
"东莞市","清溪镇",159,0.115745956678062,120,"新一线"
"东莞市","石排镇",86,0.13168995168987,140,"新一线"
